limiar,recall,precisao,f1,FN,FP
0.05,1.0,0.39204545454545453,0.563265306122449,0,428
0.1,1.0,0.39204545454545453,0.563265306122449,0,428
0.15,0.9963768115942029,0.40381791483113066,0.5747126436781609,1,406
0.2,0.9746376811594203,0.4190031152647975,0.5860566448801743,7,373
0.25,0.9166666666666666,0.42449664429530204,0.5802752293577982,23,343
0.3,0.8586956521739131,0.4388888888888889,0.5808823529411765,39,303
0.35,0.7862318840579711,0.4492753623188406,0.5718050065876152,59,266
0.4,0.6702898550724637,0.4625,0.5473372781065089,91,215
0.45,0.5652173913043478,0.4984025559105431,0.5297113752122241,120,157
0.5,0.427536231884058,0.5064377682403434,0.4636542239685658,158,115
0.55,0.322463768115942,0.559748427672956,0.4091954022988506,187,70
0.6,0.20652173913043478,0.5876288659793815,0.30563002680965146,219,40
0.65,0.11594202898550725,0.7111111111111111,0.19937694704049844,244,13
0.7,0.06159420289855073,0.8095238095238095,0.11447811447811448,259,4
0.75,0.021739130434782608,0.8571428571428571,0.04240282685512368,270,1
0.8,0.0,0.0,0.0,276,0
0.85,0.0,0.0,0.0,276,0
0.9,0.0,0.0,0.0,276,0
0.95,0.0,0.0,0.0,276,0
